Root Name,Search Term,PMID,Title,Article Type,Publication Year,PubMed URL
Patchouli,Patchouli,35862879,Nonpharmacological approaches for improving gut resilience to chemotherapy.,Journal Article; Review,2022,https://pubmed.ncbi.nlm.nih.gov/35862879/
Patchouli,Patchouli,35588098,Patchouli alcohol protects against myocardial ischaemia-reperfusion injury by regulating the Notch1/Hes1 pathway.,"Journal Article; Randomized Controlled Trial, Veterinary",2022,https://pubmed.ncbi.nlm.nih.gov/35588098/
Patchouli,Patchouli,35282804,"Traditional Uses, Phytochemistry, Pharmacology, Quality Control, Industrial Application, Pharmacokinetics and Network Pharmacology of <i>Pogostemon cablin</i>: A Comprehensive Review.",Journal Article; Review,2022,https://pubmed.ncbi.nlm.nih.gov/35282804/
Patchouli,Patchouli,34951207,[Biosynthesis and metabolism regulation of terpenoids in Pogostemon cablin: a review].,Journal Article; Review,2021,https://pubmed.ncbi.nlm.nih.gov/34951207/
Patchouli,Patchouli,33413544,Pharmacological activities and mechanisms of action of Pogostemon cablin Benth: a review.,Journal Article; Review,2021,https://pubmed.ncbi.nlm.nih.gov/33413544/
Patchouli,Patchouli,33316383,Natural volatile oils derived from herbal medicines: A promising therapy way for treating depressive disorder.,"Journal Article; Research Support, Non-U.S. Gov't; Review",2020,https://pubmed.ncbi.nlm.nih.gov/33316383/
Patchouli,Patchouli,33049685,Lamiaceae in the treatment of cardiovascular diseases.,"Journal Article; Research Support, Non-U.S. Gov't; Review",2021,https://pubmed.ncbi.nlm.nih.gov/33049685/
Patchouli,Patchouli,33039955,Potential benefits of patchouli alcohol in prevention of human diseases: A mechanistic review.,Journal Article; Review,2020,https://pubmed.ncbi.nlm.nih.gov/33039955/
Patchouli,Patchouli,32907352,Effects of Short-Term Inhalation of Patchouli Oil on Professional Quality of Life and Stress Levels in Emergency Nurses: A Randomized Controlled Trial.,Journal Article; Randomized Controlled Trial,2020,https://pubmed.ncbi.nlm.nih.gov/32907352/
Patchouli,Patchouli,31643144,Optimization of factors influencing enzyme activity and product selectivity and the role of proton transfer in the catalytic mechanism of patchoulol synthase.,Journal Article; Review,2019,https://pubmed.ncbi.nlm.nih.gov/31643144/
Patchouli,Patchouli,29751722,[Comparison between Ye Tianshi and Xue Shengbai in treatment of diarrfea with damp-heat].,Comparative Study; Journal Article,2018,https://pubmed.ncbi.nlm.nih.gov/29751722/
Patchouli,Patchouli,29600757,Preclinical Hepatoprotective Effect of Herbalism Against Ethanol Induced Hepatotoxicity: A Review.,Journal Article; Review,2018,https://pubmed.ncbi.nlm.nih.gov/29600757/
Patchouli,Patchouli,28421121,"Availability, Pharmaceutics, Security, Pharmacokinetics, and Pharmacological Activities of Patchouli Alcohol.",Journal Article; Review,2017,https://pubmed.ncbi.nlm.nih.gov/28421121/
Patchouli,Patchouli,26929999,Photo-protective activity of pogostone against UV-induced skin premature aging in mice.,"Journal Article; Research Support, Non-U.S. Gov't; Review",2016,https://pubmed.ncbi.nlm.nih.gov/26929999/
Patchouli,Patchouli,26336230,Comparison of the Insecticidal Characteristics of Commercially Available Plant Essential Oils Against Aedes aegypti and Anopheles gambiae (Diptera: Culicidae).,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",2015,https://pubmed.ncbi.nlm.nih.gov/26336230/
Patchouli,Patchouli,25985355,A Comprehensive Review on the Phytochemical Constituents and Pharmacological Activities of Pogostemon cablin Benth.: An Aromatic Medicinal Plant of Industrial Importance.,Journal Article; Review,2015,https://pubmed.ncbi.nlm.nih.gov/25985355/
Patchouli,Patchouli,23081867,Essential oils and their compositions as spatial repellents for pestiferous social wasps.,Evaluation Study; Journal Article,2012,https://pubmed.ncbi.nlm.nih.gov/23081867/
Patchouli,Patchouli,22903742,Secondary metabolites and antioxidant capacities of Waldheimia glabra (Decne.) Regel from Nepal.,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",2012,https://pubmed.ncbi.nlm.nih.gov/22903742/
Patchouli,Patchouli,22086772,Evaluation of the effects of plant-derived essential oils on central nervous system function using discrete shuttle-type conditioned avoidance response in mice.,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",2011,https://pubmed.ncbi.nlm.nih.gov/22086772/
Patchouli,Patchouli,21299132,Volatile oil composition of Pogostemon heyneanus and comparison of its composition with patchouli oil.,Comparative Study; Journal Article,2010,https://pubmed.ncbi.nlm.nih.gov/21299132/
Patchouli,Patchouli,21137335,[Identification method with significant specificity of volatile oil of Pogostemon cablin].,"Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't",2010,https://pubmed.ncbi.nlm.nih.gov/21137335/
Patchouli,Patchouli,20628993,Evaluation of the toxicity of 17 essential oils against Choristoneura rosaceana (Lepidoptera: Tortricidae) and Trichoplusia ni (Lepidoptera: Noctuidae).,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",2010,https://pubmed.ncbi.nlm.nih.gov/20628993/
Patchouli,Patchouli,20069900,[Evaluation of promoting effect of several transdermal enhancers with fuzzy matter-element model].,"Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't",2009,https://pubmed.ncbi.nlm.nih.gov/20069900/
Patchouli,Patchouli,19736760,Laboratory evaluation of products to reduce settling of sweetpotato whitefly adults.,Evaluation Study; Journal Article,2009,https://pubmed.ncbi.nlm.nih.gov/19736760/
Patchouli,Patchouli,18640218,Fragrance material review on patchouli alcohol.,"Journal Article; Research Support, Non-U.S. Gov't; Review",2008,https://pubmed.ncbi.nlm.nih.gov/18640218/
Patchouli,Patchouli,18618805,Woody pretzels: spirocycles from vetiver to patchouli and Georgywood.,Journal Article; Review,2008,https://pubmed.ncbi.nlm.nih.gov/18618805/
Patchouli,Patchouli,18404355,Comparative study on volatile components of Nardostachys rhizome.,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",2007,https://pubmed.ncbi.nlm.nih.gov/18404355/
Patchouli,Patchouli,17192005,"Biotransformation of terpenoids by mammals, microorganisms, and plant-cultured cells.",Journal Article; Review,2005,https://pubmed.ncbi.nlm.nih.gov/17192005/
Patchouli,Patchouli,16041723,Comparative repellency of 38 essential oils against mosquito bites.,"Clinical Trial; Comparative Study; Controlled Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't",2005,https://pubmed.ncbi.nlm.nih.gov/16041723/
Patchouli,Patchouli,15881363,[Multidimensional separations used in pharmaceutical and biological fields].,English Abstract; Journal Article; Review,2005,https://pubmed.ncbi.nlm.nih.gov/15881363/
Patchouli,Patchouli,15606023,[Pharmacokinetics of patchouli alcohol and patchouli alcohol in patchouli oil after iv administrated to rats].,Comparative Study; Journal Article,2004,https://pubmed.ncbi.nlm.nih.gov/15606023/
Patchouli,Patchouli,12567903,[DNA sequencing and molecular identification of Patchouli and its substitute wrinkled gianthyssop].,"Comparative Study; English Abstract; Journal Article; Research Support, Non-U.S. Gov't",2002,https://pubmed.ncbi.nlm.nih.gov/12567903/
Patchouli,Patchouli,11374206,The influence of verbal labeling on the perception of odors: evidence for olfactory illusions?,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",2001,https://pubmed.ncbi.nlm.nih.gov/11374206/
Patchouli,Patchouli,9930198,"Complete nucleotide sequence of the genome organization of RNA2 of patchouli mild mosaic virus, a new favavirus.",Comparative Study; Journal Article,1998,https://pubmed.ncbi.nlm.nih.gov/9930198/
Patchouli,Patchouli,8893526,Antibacterial and antifungal activity of ten essential oils in vitro.,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",1996,https://pubmed.ncbi.nlm.nih.gov/8893526/
Saffron,Saffron,41120739,Nutritional interventions and sleep quality in obese individuals: a systematic review and meta-analysis of randomized control trials.,Journal Article; Meta-Analysis; Systematic Review,2025,https://pubmed.ncbi.nlm.nih.gov/41120739/
Saffron,Saffron,41085703,"Comparative evaluation of MG-RAST, MEGAN6 and Kraken2 for whole metagenome analysis of saffron corms for bacterial community structure and function.",Journal Article; Comparative Study,2025,https://pubmed.ncbi.nlm.nih.gov/41085703/
Saffron,Saffron,40955264,Management of Antidepressant-Induced Sexual Dysfunction: A Literature Review.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40955264/
Saffron,Saffron,40842498,The efficacy of saffron supplementation on inflammation and oxidative stress in patients with type-2 diabetes mellitus: a meta-analysis.,Journal Article; Meta-Analysis; Systematic Review,2025,https://pubmed.ncbi.nlm.nih.gov/40842498/
Saffron,Saffron,40819247,"Efficacy of Saffron (<i>Crocus sativus</i> L.) and Its Constituents on Breast Cancer, a Systematic Review of Preclinical Studies and Potential Therapeutic Mechanisms.",Journal Article; Systematic Review; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40819247/
Saffron,Saffron,40817397,The impacts of Crocin on serum cytokines concentrations in participants with metabolic syndrome: a double-blind randomized clinical trial study.,Journal Article; Randomized Controlled Trial,2025,https://pubmed.ncbi.nlm.nih.gov/40817397/
Saffron,Saffron,40792566,"Combating saffron fraud: a systematic review of adulteration practices, detection technologies, recommendations and challenges.",Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40792566/
Saffron,Saffron,40772023,"Functional, Nutraceutical and Health Endorsing Perspectives of Saffron.",Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40772023/
Saffron,Saffron,40762630,"A standardised saffron extract improves subjective and objective sleep quality in healthy older adults with sleep complaints: results from the gut-sleep-brain axis randomised, double-blind, placebo-controlled pilot study.",Journal Article; Randomized Controlled Trial,2025,https://pubmed.ncbi.nlm.nih.gov/40762630/
Saffron,Saffron,40735481,"Understanding the research landscape of over-the-counter herbal products, dietary supplements, and medications evaluated for depressive symptoms in adults: a scoping review.",Journal Article; Systematic Review,2025,https://pubmed.ncbi.nlm.nih.gov/40735481/
Saffron,Saffron,40731797,"Exercise Interventions in Breast Cancer: Molecular Mechanisms, Physical Benefits, and Practical Recommendations.",Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40731797/
Saffron,Saffron,40725988,Calcium Corneal Deposits Following Corneal Ulceration in Cats: A Series of Eight Cases.,Case Reports; Journal Article,2025,https://pubmed.ncbi.nlm.nih.gov/40725988/
Saffron,Saffron,40724238,Chemical Profiling and Quality Assessment of Food Products Employing Magnetic Resonance Technologies.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40724238/
Saffron,Saffron,40696288,Unleasing the potential of seaweed biostimulants-a comparative evaluation for enhancing saffron (Crocus sativus L.) yield with different corm sizes in the Western Himalayas.,Journal Article; Comparative Study,2025,https://pubmed.ncbi.nlm.nih.gov/40696288/
Saffron,Saffron,40611692,A review of the ergonomic problems of agricultural activities in connection with mechanization: Some Iranian farm works as instances.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40611692/
Saffron,Saffron,40584445,Effect of <i>Crocus sativus</i> L. (saffron) and <i>Rosmarinus officinalis</i> L. (rosemary) in hepatocellular carcinoma: A narrative review of current evidence and prospects.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40584445/
Saffron,Saffron,40491948,"Supplementary approaches to perinatal depression: a review of pathogenesis, herbal interventions, and dietary supplements.",Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40491948/
Saffron,Saffron,40472069,Endoplasmic Reticulum Stress and Liver Cancer: Regulation Through Natural Products.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40472069/
Saffron,Saffron,40416274,From Mood to Memory: Unlocking Saffron's Potential in Brain Health.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40416274/
Saffron,Saffron,40414301,"An Examination into the Effects of a Saffron Extract (Affron) on Mood and General Wellbeing in Adults Experiencing Low Mood: A Randomized, Double-Blind, Placebo-Controlled Trial.",Journal Article; Randomized Controlled Trial,2025,https://pubmed.ncbi.nlm.nih.gov/40414301/
Saffron,Saffron,40400479,The effect of crocetin (a saffron carotenoid) supplementation on antioxidant and inflammatory indexes and serum leptin concentration in patients with coronary artery disease.,Journal Article; Randomized Controlled Trial,2025,https://pubmed.ncbi.nlm.nih.gov/40400479/
Saffron,Saffron,40346613,The effects of saffron supplementation on inflammation and hematological parameters in patients with sepsis: a randomized controlled trial.,"Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial",2025,https://pubmed.ncbi.nlm.nih.gov/40346613/
Saffron,Saffron,40314175,Comparative efficacy and tolerability of nutraceuticals for depressive disorder: A systematic review and network meta-analysis.,Journal Article; Systematic Review; Comparative Study; Network Meta-Analysis,2025,https://pubmed.ncbi.nlm.nih.gov/40314175/
Saffron,Saffron,40274236,Novel Insights into Dietary Bioactive Compounds and Major Depressive Disorders: Evidence from Animal Studies and Future Perspectives.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40274236/
Saffron,Saffron,40256221,A systematic review on the use of phytotherapy in managing clinical depression.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/40256221/
Saffron,Saffron,40226680,Effectiveness of a Saffron and Withania Supplement on Mood in Women With Mild-to-Moderate Anxiety During the COVID-19 Lockdown.,"Journal Article; Clinical Trial; Research Support, Non-U.S. Gov't",2024,https://pubmed.ncbi.nlm.nih.gov/40226680/
Saffron,Saffron,40172359,The Therapeutic Role of Saffron and Its Components Mediated Through Nrf2 in Diabetes and Related Pathologies.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40172359/
Saffron,Saffron,40167627,Effects of Crocus sativus and its active constituents on cytochrome P450: a review.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40167627/
Saffron,Saffron,40159453,Recycling Agricultural Waste: Sustainable Solutions for Enhancing Livestock Nutrition.,"Journal Article; Review; Research Support, Non-U.S. Gov't",2025,https://pubmed.ncbi.nlm.nih.gov/40159453/
Saffron,Saffron,40154100,Molecular insights into anti-inflammatory activities of selected Indian herbs.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40154100/
Saffron,Saffron,40097871,"From cell lines to animal models: ""plant- derived chemotherapeutics unlocking new frontiers against oral squamous cell carcinoma""-a comprehensive systematic review.",Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40097871/
Saffron,Saffron,40077679,"The Effects of Combined Scutellaria and Saffron Supplementation on Mood Regulation in Participants with Mild-to-Moderate Depressive Symptoms: A Randomized, Double-Blind, Placebo-Controlled Study.",Journal Article; Randomized Controlled Trial,2025,https://pubmed.ncbi.nlm.nih.gov/40077679/
Saffron,Saffron,40007201,Harnessing Microbial Consortia for Sustainable Management of Corm Rot of Saffron.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40007201/
Saffron,Saffron,40002339,Antioxidants in Age-Related Macular Degeneration: Lights and Shadows.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40002339/
Saffron,Saffron,39999502,"Structural integrity, bioactive components, and physico-chemical characteristics of Kashmiri saffron (Crocus sativus L.) as affected by different drying techniques.",Journal Article; Evaluation Study,2025,https://pubmed.ncbi.nlm.nih.gov/39999502/
Saffron,Saffron,39985829,Pharmacological treatment of antidepressant-induced sexual dysfunction in women: A systematic review and meta-analysis of randomized clinical trials.,Journal Article; Systematic Review; Meta-Analysis,2025,https://pubmed.ncbi.nlm.nih.gov/39985829/
Saffron,Saffron,39947646,Possibility and Potenzial Intervention Targets of Saffron Extract in the Treatment of Atopic Dermatitis: A Review.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/39947646/
Saffron,Saffron,39931766,Effects of Saffron Supplementation on Glycolipid Metabolism and Blood Pressure in Patients With Metabolic Syndrome and Related Disorders: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Journal Article; Systematic Review; Meta-Analysis,2025,https://pubmed.ncbi.nlm.nih.gov/39931766/
Saffron,Saffron,39928149,A comprehensive literature review on the effects of saffron and its bioactive components on traumatic brain injury (TBI).,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/39928149/
Saffron,Saffron,39900858,[Recommendations of the DGRh Committee on Complementary Medicine and Nutrition on the application of selected phytotherapeutic drugs and herbal medicines in rheumatology].,Journal Article; Practice Guideline; English Abstract; Review,2025,https://pubmed.ncbi.nlm.nih.gov/39900858/
Saffron,Saffron,39818282,"The effect of saffron supplementation on liver and kidney function, blood glucose and pressure in patients with diabetes and prediabetes: A grade assessed systematic review and meta-analysis of randomized controlled trials.",Journal Article; Meta-Analysis; Systematic Review,2025,https://pubmed.ncbi.nlm.nih.gov/39818282/
Saffron,Saffron,39772326,[Flavonoids – natural compounds with antiviral and anticancer potential].,Journal Article; Review; English Abstract,2024,https://pubmed.ncbi.nlm.nih.gov/39772326/
Saffron,Saffron,39754520,Therapeutic Potential of Saffron Extract in Mild Depression: A Study of Its Role on Anhedonia in Rats and Humans.,Journal Article; Randomized Controlled Trial,2025,https://pubmed.ncbi.nlm.nih.gov/39754520/
Saffron,Saffron,39717381,Phytochemicals in the treatment of patients with depression: a systemic review.,Journal Article; Systematic Review,2024,https://pubmed.ncbi.nlm.nih.gov/39717381/
Saffron,Saffron,39661337,"Crocus sativus (saffron) adjunct to risperidone for negative symptoms of schizophrenia: a randomized, double-blind, placebo-controlled trial.",Journal Article; Randomized Controlled Trial,2024,https://pubmed.ncbi.nlm.nih.gov/39661337/
Saffron,Saffron,39658144,In vitro transdermal release of crocin from electrospun saffron and its comparison with in vitro digestion.,Journal Article; Comparative Study,2024,https://pubmed.ncbi.nlm.nih.gov/39658144/
Saffron,Saffron,39632602,Crocin Supplementation on Inflammation and Oxidative Stress: A Systematic Review and Meta-Analysis.,Journal Article; Meta-Analysis; Systematic Review,2024,https://pubmed.ncbi.nlm.nih.gov/39632602/
Saffron,Saffron,39599758,Beneficial Effects of Micronutrient Supplementation in Restoring the Altered Microbiota and Gut-Retina Axis in Patients with Neovascular Age-Related Macular Degeneration-A Randomized Clinical Trial.,Journal Article; Randomized Controlled Trial,2024,https://pubmed.ncbi.nlm.nih.gov/39599758/
Saffron,Saffron,39598400,"Plants with Potential Importance in Supporting the Treatment of Depression: Current Trends, and Research.",Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39598400/
Saffron,Saffron,39594476,"Fruits, Spices and Honey Phenolic Compounds: A Comprehensive Review on Their Origin, Methods of Extraction and Beneficial Health Properties.",Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39594476/
Saffron,Saffron,39593185,Effects of saffron (Crocus sativus L.) supplementation on cardiometabolic Indices in diabetic and prediabetic overweight patients: a systematic review and meta-analysis of RCTs.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39593185/
Saffron,Saffron,39577115,Saffron and its major constituents against neurodegenerative diseases: A mechanistic review.,Journal Article; Systematic Review,2024,https://pubmed.ncbi.nlm.nih.gov/39577115/
Saffron,Saffron,39571437,Non-targeted volatilomics for the authentication of saffron by gas chromatography-ion mobility spectrometry and multivariate curve resolution.,Journal Article; Evaluation Study,2024,https://pubmed.ncbi.nlm.nih.gov/39571437/
Saffron,Saffron,39554322,The potential protective role of carotenoids from saffron: A focus on endoplasmic reticulum stress-related organ damage.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39554322/
Saffron,Saffron,39508746,Therapeutic Potential of Herbal Compounds in Curing Dysmenorrhea Naturally: A Review.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39508746/
Saffron,Saffron,39507811,<i>Crocus sativus</i> (saffron) and age-related macular degeneration.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39507811/
Saffron,Saffron,39429382,Dietary Interventions and Supplements for Managing Attention-Deficit/Hyperactivity Disorder (ADHD): A Systematic Review of Efficacy and Recommendations.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39429382/
Saffron,Saffron,39351321,Exploring the Potential of Saffron as a Therapeutic Agent in Depression Treatment: A Comparative Review.,Journal Article; Review; Comparative Study,2024,https://pubmed.ncbi.nlm.nih.gov/39351321/
Saffron,Saffron,39350596,What over the counter (OTC) products have been evaluated for anxiety in adults aged 18-60? A scoping review.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39350596/
Saffron,Saffron,39295946,Saffron (<i>Crocus sativus</i>) and its constituents in ovalbumin-induced asthma model: a preclinical systematic review and meta-analysis.,Journal Article; Systematic Review,2024,https://pubmed.ncbi.nlm.nih.gov/39295946/
Saffron,Saffron,39235596,SAFFRON-104: a phase Ib/II study of sitravatinib alone or with tislelizumab in advanced hepatocellular carcinoma and gastric cancer/gastroesophageal junction cancer.,"Journal Article; Clinical Trial, Phase I; Clinical Trial, Phase II; Multicenter Study",2024,https://pubmed.ncbi.nlm.nih.gov/39235596/
Saffron,Saffron,39227898,Crocus Sativus Linnaeus (Saffron) intake does not affect physiological and perceptual responses during a repeated sprint test in healthy active young males.,Journal Article; Randomized Controlled Trial,2024,https://pubmed.ncbi.nlm.nih.gov/39227898/
Saffron,Saffron,39213969,"Smartphone video imaging: A versatile, low-cost technology for food authentication.",Journal Article; Evaluation Study,2024,https://pubmed.ncbi.nlm.nih.gov/39213969/
Saffron,Saffron,39193857,Dietary plants for oral cancer prevention and therapy: A review of preclinical and clinical studies.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39193857/
Saffron,Saffron,39106806,Competitive coordination assisted scalable fabrication of FITC‑nickel frameworks anchored nanofiber paper for colorimetric/fluorescent monitoring of shrimp freshness.,Journal Article; Evaluation Study,2024,https://pubmed.ncbi.nlm.nih.gov/39106806/
Saffron,Saffron,39064796,Saffron as a Promising Therapy for Inflammatory Bowel Disease.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39064796/
Saffron,Saffron,39064764,Saffron (<i>Crocus sativus</i> L.) and Its By-Products: Healthy Effects in Internal Medicine.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39064764/
Saffron,Saffron,39021815,Herbal Products as Complementary or Alternative Medicine for the Management of Hyperglycemia and Dyslipidemia in Patients with Type 2 Diabetes: Current Evidence Based on Findings of Interventional Studies.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/39021815/
Saffron,Saffron,38999837,Effect of <i>Crocus sativus</i> Extract Supplementation in the Metabolic Control of People with Diabetes Mellitus Type 1: A Double-Blind Randomized Placebo-Controlled Trial.,Journal Article; Randomized Controlled Trial,2024,https://pubmed.ncbi.nlm.nih.gov/38999837/
Saffron,Saffron,38957089,Novel and complementary treatment approaches in attention-deficit/hyperactivity disorder.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38957089/
Saffron,Saffron,38913392,Effect of Saffron Versus Selective Serotonin Reuptake Inhibitors (SSRIs) in Treatment of Depression and Anxiety: A Meta-analysis of Randomized Controlled Trials.,Journal Article; Meta-Analysis,2025,https://pubmed.ncbi.nlm.nih.gov/38913392/
Saffron,Saffron,38891276,"Saffron, a Potential Bridge between Nutrition and Disease Therapeutics: Global Health Challenges and Therapeutic Opportunities.",Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38891276/
Saffron,Saffron,38874882,The effect of 12 weeks of aerobic exercise training with or without saffron supplementation on diabetes-specific markers and inflammation in women with type 2 diabetes: A randomized double-blind placebo-controlled trial.,Journal Article; Randomized Controlled Trial,2024,https://pubmed.ncbi.nlm.nih.gov/38874882/
Saffron,Saffron,38824730,"A non-invasive, sensor-based approach to exploit the autofluorescence of saffron (Crocus sativus L.) for on-site evaluation of aging.",Journal Article; Evaluation Study,2024,https://pubmed.ncbi.nlm.nih.gov/38824730/
Saffron,Saffron,38808159,"Stigmas and Petals of <i>Crocus sativus</i> L. (Taliouine, Morocco): Comparative Evaluation of Their Phenolic Compounds, Antioxidant, and Antibacterial Activities.",Journal Article; Comparative Study,2024,https://pubmed.ncbi.nlm.nih.gov/38808159/
Saffron,Saffron,38775283,"Comparative study on nutraceutical and sensorial characteristics of saffron (Crocus sativus L.) cultivated in Iran, Spain, and Türkiye.",Journal Article; Comparative Study,2024,https://pubmed.ncbi.nlm.nih.gov/38775283/
Saffron,Saffron,38758225,Potential therapeutic effects of crocin.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38758225/
Saffron,Saffron,38744257,Multimodal 2D and 3D microscopic mapping of growth cartilage by computational imaging techniques - a short review including new research.,"Journal Article; Review; Research Support, Non-U.S. Gov't",2024,https://pubmed.ncbi.nlm.nih.gov/38744257/
Saffron,Saffron,38694315,Saffron extract as an emerging novel therapeutic option in reproduction and sexual health: recent advances and future prospectives.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38694315/
Saffron,Saffron,38675443,State-of-the-Art Review on Botanical Hybrid Preparations in Phytomedicine and Phytotherapy Research: Background and Perspectives.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38675443/
Saffron,Saffron,38672692,An Overview of the Spices Used for the Prevention and Potential Treatment of Gastric Cancer.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38672692/
Saffron,Saffron,38580720,"Effect of a nutraceutical combination on sleep quality among people with impaired sleep: a randomised, placebo-controlled trial.",Randomized Controlled Trial; Journal Article,2024,https://pubmed.ncbi.nlm.nih.gov/38580720/
Saffron,Saffron,38559777,Effect of saffron supplementation on the glycemic outcomes in diabetes: a systematic review and meta-analysis.,Systematic Review; Journal Article,2024,https://pubmed.ncbi.nlm.nih.gov/38559777/
